1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
4	J	2568
4	R	2568
4	W	2568
0	R	2568
4	J	2684
4	R	2684
4	W	2684
0	R	2684
4	J	2724
4	R	2724
4	W	2724
0	R	2724
4	J	2776
4	R	2776
4	W	2776
0	R	2776
4	J	2911
4	R	2911
4	W	2911
0	R	2911
4	J	3014
4	R	3014
4	W	3014
0	R	3014
4	J	3046
4	R	3046
4	W	3046
0	R	3046
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3217
4	R	3217
4	W	3217
0	R	3217
4	J	3370
4	R	3370
6	N	3371
6	J	3372
4	W	3372
6	R	3372
